img_name,path,label
progan_celeba_img_16464_11.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_16464_11.png,8
progan_celeba_img_17264_11.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_17264_11.png,8
progan_025805.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_025805.png,8
progan_celeba_img_15520_8.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_15520_8.png,8
progan_018553.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_018553.png,8
progan_celeba_img_5520_6.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_5520_6.png,8
progan_celeba_img_7632_15.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_7632_15.png,8
progan_celeba_img_9808_7.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_9808_7.png,8
progan_000449.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_000449.png,8
progan_014318.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_014318.png,8
progan_025859.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_025859.png,8
progan_celeba_img_13568_12.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_13568_12.png,8
progan_022647.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_022647.png,8
progan_015231.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_015231.png,8
progan_010024.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_010024.png,8
progan_006477.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_006477.png,8
progan_001635.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_001635.png,8
progan_celeba_img_9744_10.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_9744_10.png,8
progan_celeba_img_15200_12.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_15200_12.png,8
progan_001080.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_001080.png,8
progan_006348.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_006348.png,8
progan_celeba_img_18512_10.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_18512_10.png,8
progan_004388.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_004388.png,8
progan_004889.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_004889.png,8
progan_028494.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_028494.png,8
progan_021490.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_021490.png,8
progan_026772.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_026772.png,8
progan_celeba_img_14960_3.png,/media/ssd1/labady/datasets/semafor/ProGAN/celebaha/progan_celeba_img_14960_3.png,8
