img_name,path,label
samples94_   1.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples94_   1.png,7
samples83_  25.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples83_  25.png,7
samples37_  22.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples37_  22.png,7
samples65_  11.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples65_  11.png,7
samples175_  28.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples175_  28.png,7
samples53_  20.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples53_  20.png,7
samples133_   9.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples133_   9.png,7
samples187_  29.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples187_  29.png,7
samples55_  46.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples55_  46.png,7
samples163_  36.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples163_  36.png,7
samples82_  44.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples82_  44.png,7
samples166_   1.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples166_   1.png,7
samples88_  37.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples88_  37.png,7
samples176_   5.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples176_   5.png,7
samples14_  49.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples14_  49.png,7
samples16_  18.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples16_  18.png,7
samples123_  44.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples123_  44.png,7
samples54_  20.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples54_  20.png,7
samples79_  16.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples79_  16.png,7
samples31_  36.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples31_  36.png,7
samples130_  29.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples130_  29.png,7
samples180_  27.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples180_  27.png,7
samples168_  14.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples168_  14.png,7
samples111_  37.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples111_  37.png,7
samples40_   1.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples40_   1.png,7
samples127_  26.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples127_  26.png,7
samples179_  25.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples179_  25.png,7
samples199_  31.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples199_  31.png,7
samples14_  21.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples14_  21.png,7
samples155_  49.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples155_  49.png,7
samples108_  18.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples108_  18.png,7
samples61_  14.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples61_  14.png,7
samples128_  49.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples128_  49.png,7
samples 5_  18.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples 5_  18.png,7
samples29_  18.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples29_  18.png,7
samples109_  37.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples109_  37.png,7
samples 9_  46.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples 9_  46.png,7
samples18_  41.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples18_  41.png,7
samples34_   2.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples34_   2.png,7
samples116_  47.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples116_  47.png,7
samples51_   8.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples51_   8.png,7
samples15_   0.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples15_   0.png,7
samples116_  43.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples116_  43.png,7
samples87_  11.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples87_  11.png,7
samples144_  15.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples144_  15.png,7
samples83_  31.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples83_  31.png,7
samples 4_  21.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples 4_  21.png,7
samples157_   2.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples157_   2.png,7
samples103_  16.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples103_  16.png,7
samples168_  33.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples168_  33.png,7
samples163_   4.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples163_   4.png,7
samples34_   8.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples34_   8.png,7
samples121_  38.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples121_  38.png,7
samples174_  42.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples174_  42.png,7
samples26_  46.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples26_  46.png,7
samples71_  18.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples71_  18.png,7
samples57_  22.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples57_  22.png,7
samples75_   4.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples75_   4.png,7
samples164_  38.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples164_  38.png,7
samples166_  43.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples166_  43.png,7
samples14_   6.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples14_   6.png,7
samples170_  23.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples170_  23.png,7
samples158_   5.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples158_   5.png,7
samples37_   3.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples37_   3.png,7
samples135_  21.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples135_  21.png,7
samples134_  39.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples134_  39.png,7
samples58_  38.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples58_  38.png,7
samples20_  32.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples20_  32.png,7
samples114_  44.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples114_  44.png,7
samples117_  21.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples117_  21.png,7
samples123_  38.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples123_  38.png,7
samples128_  37.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples128_  37.png,7
samples39_   0.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples39_   0.png,7
samples 9_  29.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples 9_  29.png,7
samples130_  16.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples130_  16.png,7
samples48_  45.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples48_  45.png,7
samples 2_   6.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples 2_   6.png,7
samples171_  34.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples171_  34.png,7
samples70_  29.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples70_  29.png,7
samples115_  39.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples115_  39.png,7
samples64_   5.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples64_   5.png,7
samples106_  15.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples106_  15.png,7
samples64_  34.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples64_  34.png,7
samples119_  28.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples119_  28.png,7
samples57_  17.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples57_  17.png,7
samples132_   7.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples132_   7.png,7
samples25_  32.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples25_  32.png,7
samples91_   4.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples91_   4.png,7
samples181_  16.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples181_  16.png,7
samples123_  17.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples123_  17.png,7
samples166_  19.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples166_  19.png,7
samples10_  15.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples10_  15.png,7
samples92_   9.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples92_   9.png,7
samples 0_  47.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples 0_  47.png,7
samples194_  11.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples194_  11.png,7
samples36_   6.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples36_   6.png,7
samples98_  34.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples98_  34.png,7
samples58_   3.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples58_   3.png,7
samples14_  40.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples14_  40.png,7
samples170_  20.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples170_  20.png,7
samples104_   2.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples104_   2.png,7
samples182_  22.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples182_  22.png,7
samples50_  19.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples50_  19.png,7
samples75_  37.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples75_  37.png,7
samples70_   1.png,/media/ssd1/labady/datasets/semafor/LSGM/celeba-hq-256-qualitative/samples70_   1.png,7
